SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1517 Turpin St,Anchorage,AK,99504,275000,3,1.0,Anchorage Municipality,1380,10125,1961,80,199,,Active,,,https://www.redfin.com/AK/Anchorage/1517-Turpin-St-99504/home/131373119,AKMLS,21-16104,N,Y,61.2071141,-149.7553937
MLS Listing,,Single Family Residential,20413 Lucas Ave,Eagle River,AK,99577,425000,3,3.0,Anchorage Municipality,2760,22693,1972,81,154,,Active,,,https://www.redfin.com/AK/Eagle-River/20413-Lucas-Ave-99577/home/131598914,AKMLS,21-16092,N,Y,61.3140552,-149.5013898
MLS Listing,,Single Family Residential,8040 Lake Otis Pkwy,Anchorage,AK,99507,370000,4,2.0,Anchorage Municipality,2584,12000,1967,81,143,,Active,,,https://www.redfin.com/AK/Anchorage/8040-Lake-Otis-Pkwy-99507/home/131834435,AKMLS,21-16088,N,Y,61.1478023,-149.835169
MLS Listing,,Condo/Co-op,5546 Big Bear Way,Anchorage,AK,99504,359900,4,3.0,Anchorage Municipality,1634,,2021,81,220,270,Active,,,https://www.redfin.com/AK/Anchorage/5546-Big-Bear-Way-99504/home/176737122,AKMLS,21-16048,N,Y,61.1869666,-149.7768577
MLS Listing,,Condo/Co-op,5538 Big Bear Way #15,Anchorage,AK,99504,354900,4,3.0,Anchorage Municipality,1634,,2021,81,217,270,Active,,,https://www.redfin.com/AK/Anchorage/5538-Big-Bear-Way-99504/unit-15/home/176737120,AKMLS,21-16046,N,Y,61.1869666,-149.7768577
MLS Listing,,Condo/Co-op,5542 Big Bear Way #16,Anchorage,AK,99504,349900,4,3.0,Anchorage Municipality,1634,,2021,81,214,270,Active,,,https://www.redfin.com/AK/Anchorage/5542-Big-Bear-Way-99504/unit-16/home/176737119,AKMLS,21-16047,N,Y,61.1869666,-149.7768577
MLS Listing,,Single Family Residential,1131 China Berry Cir,Anchorage,AK,99515,205000,2,1.0,Anchorage Municipality,880,3967,1985,81,233,,Active,,,https://www.redfin.com/AK/Anchorage/1131-China-Berry-Cir-99515/home/131805810,AKMLS,21-16032,N,Y,61.1300867,-149.8616839
MLS Listing,,Vacant Land,L11 B7 Stroganof Dr,Anchorage,AK,99507,295000,0,,Anchorage Municipality,,33323,,83,,,Active,,,https://www.redfin.com/AK/Anchorage/L11-B7-Stroganof-Dr-99507/home/176721237,AKMLS,21-15957,N,Y,61.125694,-149.71534
MLS Listing,,Condo/Co-op,2212 Glacier St #207,Anchorage,AK,99501,139900,2,2.0,Anchorage Municipality,1027,,1977,83,136,350,Active,,,https://www.redfin.com/AK/Anchorage/2212-Glacier-St-99508/unit-207/home/131111285,AKMLS,21-15944,N,Y,61.2002941,-149.7864949
MLS Listing,,Single Family Residential,L17 B2 Arlene Dr,Anchorage,AK,99502,599000,4,3.0,Anchorage Municipality,2323,7447,2021,84,258,,Active,,,https://www.redfin.com/AK/Anchorage/L17-B2-Arlene-Dr-99502/home/173922955,AKMLS,21-15939,N,Y,61.1352353,-149.9294125
